Date,Open,High,Low,Close
09/06/2023,"1,951.50","1,954.50","1,940.00","1,944.20"
09/05/2023,"1,964.20","1,964.70","1,950.60","1,952.60"
09/01/2023,"1,966.40","1,980.20","1,960.70","1,967.10"
08/31/2023,"1,970.20","1,974.90","1,965.50","1,965.90"
08/30/2023,"1,966.00","1,977.10","1,962.80","1,973.00"
08/29/2023,"1,948.10","1,966.50","1,941.70","1,965.10"
08/28/2023,"1,944.00","1,954.20","1,940.10","1,946.80"
08/25/2023,"1,944.90","1,950.40","1,931.00","1,939.90"
08/24/2023,"1,944.90","1,951.30","1,939.20","1,947.10"
08/23/2023,"1,926.80","1,949.70","1,926.20","1,948.10"
08/22/2023,"1,924.00","1,933.20","1,917.50","1,926.00"
08/21/2023,"1,918.40","1,927.90","1,913.60","1,923.00"
08/18/2023,"1,919.20","1,926.00","1,915.90","1,916.50"
08/17/2023,"1,922.40","1,933.50","1,914.20","1,915.20"
08/16/2023,"1,933.10","1,938.20","1,922.00","1,928.30"
08/15/2023,"1,939.40","1,944.30","1,927.50","1,935.20"
08/14/2023,"1,945.60","1,948.20","1,934.20","1,944.00"
08/11/2023,"1,944.90","1,953.60","1,942.70","1,946.60"
08/10/2023,"1,947.70","1,963.50","1,944.40","1,948.90"
08/09/2023,"1,959.30","1,966.10","1,947.20","1,950.60"
08/08/2023,"1,971.50","1,972.80","1,956.50","1,959.90"
08/07/2023,"1,977.60","1,981.70","1,966.10","1,970.00"
